Odds,Surfer,Heat,Tier
10,Mick Fanning,12,B
10,John John Florence,5,B
10,Julian Wilson,6,A
10,Filipe Toledo,1,A
10,Gabriel Medina,4,B
10,Jordy Smith,3,B
10,Owen Wright,2,A
10,Matt Wilkinson,8,C
10,Joel Parkinson,11,B
10,Griffin Colapinto,1,A
10,Kelly Slater,-,-
10,Adriano de Souza,7,B
10,Italo Ferreira,4,B
10,Adrian Buchan,10,A
10,Kolohe Andino,9,B
10,Conner Coffin,2,B
10,Jeremy Flores,8,B
10,Michel Bourez,7,A
10,Ezekiel Lau,2,C
10,Frederico Morias,9,B
10,Kanoa Igarashi,11,B
10,Michael Rodrigues,10,A
10,Conner Oleary,10,B
10,Caio Ibelli,3,C
10,Sebastian Zietz,12,C
10,Tomas Hermes,5,A
10,Wade Carmichael,11,B
10,Joan Duru,6,C
10,Mikey McDonagh,5,C
10,Carl Wright,6,C
10,Yago Dora,8,C
10,Jesse Mendes,12,C
10,Willian Cardoso,9,B
10,Keanu Asing,7,C
10,Patrick Gudauskas,3,C
10,Ian Gouveia,4,C
10,Michael Febrary,1,B
