Odds,Stance,Surfer,Country,Tier,Heat,Rank,H2,H3
15,REG,Jordy Smith,ZAF,B,2,5,3,1
34,GFY,Ian Gouveia,BRA,C,1,31,4,1
67,REG,Frederico Morais,PRT,B,12,13,8,2
34,REG,Michael Rodrigues,BRA,B,12,25,7,2
5,REG,Filipe Toledo,BRA,A,1,6,w,3
101,REG,Keanu Asing,HAW,C,7,30,5,3
21,REG,Kolohe Andino,USA,B,12,12,w,4
51,REG,Willian Cardoso,BRA,B,11,26,w,4
18,REG,Griffin Colapinto,USA,A,8,17,w,5
34,REG,Kanoa Igarashi,JPN,B,1,19,12,5
11,REG,Julian Wilson,AUS,A,6,1,w,6
151,,Alejo Muniz,BRA,C,5,35,2,6
6,GFY,Gabriel Medina,BRA,A,5,2,w,7
51,REG,Mikey Wright,AUS,B,4,34,w,7
41,REG,Sebastian Zietz,HAW,C,10,15,10,8
81,REG,Tomas Hermes,BRA,B,2,20,11,8
51,GFY,Adrian Buchan,AUS,A,10,10,6,9
34,REG,Ezekiel Lau,HAW,B,10,27,w,9
12,GFY,Italo Ferreira,BRA,A,7,7,w,10
23,GFY,Yago Dora,BRA,C,9,28,w,10
51,REG,Jeremy Flores,FRA,B,11,14,9,11
81,REG,Wade Carmichael,AUS,B,3,21,w,11
6,REG,John John Florence,HAW,B,4,3,1,12
151,GFY,Miguel Pupo,BRA,C,2,32,w,12
21,GFY,Owen Wright,AUS,A,3,4,2,
18,REG,Adriano de Souza,BRA,B,8,8,4,
26,REG,Michel Bourez,PYF,A,9,9,5,
31,GFY,Matt Wilkinson,AUS,B,11,11,7,
31,REG,Conner Coffin,USA,B,9,16,11,
51,GFY,Connor O'Leary,AUS,C,7,18,12,
101,GFY,Joan Duru,FRA,C,4,22,10,
81,GFY,Jesse Mendes,BRA,C,5,23,9,
51,REG,Patrick Gudauskas,USA,B,6,24,8,
81,REG,Michael February,ZAF,C,8,29,6,
151,,Wiggolly Dantas,BRA,C,3,33,3,
151,,D Silva,,C,6,36,1,
34,REG,Caio Ibelli,BRA,,,,,
41,REG,Joel Parkinson,AUS,,,,,
