Odds,Stance,Surfer,Country,Tier,Heat,Rank,r1,r3
21,REG,Michel Bourez,PYF,A ,2,5,3,1
18,REG,Joel Parkinson,AUS,C ,6,24,w,1
81,GFY,Adrian Buchan,AUS,B ,10,15,6,2
26,REG,Conner Coffin,USA,B ,8,17,w,2
6,REG,Jordy Smith,ZAF,A ,1,6,4,3
67,REG,Tomas Hermes,BRA,B ,4,22,12,3
41,REG,Kolohe Andino,USA,B ,9,16,w,4
41,REG,Frederico Morais,PRT,B ,1,19,w,4
34,REG,Jeremy Flores,FRA,B ,12,13,w,5
51,REG,Wade Carmichael,AUS,B ,11,14,8,5
8,REG,Julian Wilson,AUS,A ,6,1,1,6
67,,Wiggolly Dantas,BRA,,5,35,2,6
6,REG,Filipe Toledo,BRA,A ,5,2,w,7
41,GFY,Yago Dora,BRA,C ,10,27,w,7
21,REG,Adriano de Souza,BRA,B ,10,10,9,8
41,REG,Michael Rodrigues,BRA,B ,12,12,7,8
21,GFY,Owen Wright,AUS,A ,8,8,5,9
51,REG,Sebastian Zietz,HAW,B ,2,20,w,9
41,REG,Willian Cardoso,BRA,A ,7,7,w,10
41,REG,Kanoa Igarashi,JPN,B ,3,21,w,10
21,REG,Mikey Wright,AUS,,9,9,10,11
18,REG,Griffin Colapinto,USA,B ,11,11,w,11
10,GFY,Gabriel Medina,BRA,A ,4,3,w,12
91,GFY,Connor O'Leary,AUS,C ,12,25,11,12
10,GFY,Italo Ferreira,BRA,A ,3,4,2,
41,REG,Ezekiel Lau,HAW,B ,7,18,11,
26,GFY,Matt Wilkinson,AUS,C ,5,23,12,
51,GFY,Jesse Mendes,BRA,B ,11,26,10,
51,REG,Patrick Gudauskas,USA,B ,9,28,9,
91,GFY,Joan Duru,FRA,C ,8,29,8,
51,REG,Keanu Asing,HAW,C ,7,30,7,
51,REG,Michael February,ZAF,C ,1,31,6,
67,GFY,Ian Gouveia,BRA,C ,2,32,5,
34,REG,Kelly Slater,USA,C ,3,33,4,
91,GFY,Miguel Pupo,BRA,,4,34,3,
151,,Unknown,,C ,6,36,1,
91,REG,Caio Ibelli,BRA,C ,,,,
151,REG,John John Florence,HAW,B ,,,,
151,,Alejo Muniz,BRA,,,,,
151,REG,Barron Mamiya,HAW,,,,,
151,,D Silva,,,,,,
151,,Oney Anwar,IDN,,,,,
