Odds,Stance,Surfer,Country,Tier,Heat,Rank
5,GFY,Gabriel Medina,BRA,A,4,3
7,GFY,Owen Wright,AUS,B,11,11
7,REG,Jordy Smith,ZAF,A,2,5
18,GFY,Italo Ferreira,BRA,A,3,4
14,REG,Julian Wilson,AUS,A,5,2
18,REG,Filipe Toledo,BRA,A,6,1
18,REG,Michel Bourez,PYF,A,8,8
18,GFY,Matt Wilkinson,AUS,C,9,28
21,GFY,Adrian Buchan,AUS,B,11,14
23,REG,Jeremy Flores,FRA,B,1,19
23,REG,Joel Parkinson,AUS,B,5,23
18,REG,Adriano de Souza,BRA,B,9,16
21,REG,Wade Carmichael,AUS,A,1,6
41,REG,Mikey Wright,AUS,C,9,9
34,REG,Kolohe Andino,USA,B,10,15
51,REG,Sebastian Zietz,HAW,B,3,21
41,GFY,Connor O'Leary,AUS,C,12,25
41,REG,Griffin Colapinto,USA,B,10,10
41,REG,Michael Rodrigues,BRA,B,12,13
51,REG,Conner Coffin,USA,B,12,12
51,REG,Ezekiel Lau,HAW,B,2,20
41,GFY,Joan Duru,FRA,C,1,31
41,REG,Frederico Morais,PRT,B,7,18
41,REG,Kanoa Igarashi,JPN,B,8,17
51,GFY,Yago Dora,BRA,B,6,24
51,REG,Keanu Asing,HAW,C,8,29
51,GFY,Ian Gouveia,BRA,C,2,32
81,GFY,Miguel Pupo,BRA,C,3,33
67,REG,Tomas Hermes,BRA,B,4,22
81,REG,Patrick Gudauskas,USA,C,10,27
81,REG,Michael February,ZAF,C,7,30
81,GFY,Jesse Mendes,BRA,C,11,26
151,REG,Willian Cardoso,BRA,A,7,7
151,,Wiggolly Dantas,BRA,C,4,34
151,,Mateia Hiquily,,C,5,35
151,,Tikanui Smith,,C,6,36
